Australia,Canada,Dubai,USA,Salary,YearsExperience,Purchased
0,0,1,0,39343,1.1,0
0,1,0,0,46205,1.3,1
0,1,0,0,37731,1.5,0
0,1,0,0,43525,2.0,0
0,0,0,1,39891,2.2,0
0,0,1,0,56642,2.9,0
0,1,0,0,60150,3.0,1
1,0,0,0,54445,3.2,0
0,0,1,0,64445,3.2,1
0,0,1,0,57189,3.7,0
0,0,1,0,63218,3.9,1
0,0,0,1,55794,4.0,0
0,0,1,0,56957,4.0,1
0,1,0,0,57081,4.1,0
1,0,0,0,61111,4.5,0
0,0,0,1,67938,4.9,0
0,0,0,1,66029,5.1,0
0,1,0,0,83088,5.3,0
1,0,0,0,81363,5.9,1
0,1,0,0,93940,6.0,0
0,1,0,0,91738,6.8,0
1,0,0,0,98273,7.1,0
1,0,0,0,101302,7.9,0
1,0,0,0,113812,8.2,1
0,0,1,0,109431,8.7,0
1,0,0,0,105582,9.0,1
0,0,1,0,116969,9.5,0
0,0,0,1,112635,9.6,1
0,0,0,1,122391,10.3,0
0,1,0,0,121872,10.5,1
