country,Salary,YearsExperience,Purchased
Dubai,39343.0,1.1,No
Canada,46205.0,1.3,Yes
Canada,37731.0,1.5,No
Canada,43525.0,2.0,No
USA,39891.0,2.2,No
Dubai,56642.0,2.9,No
Canada,60150.0,3.0,Yes
Australia,54445.0,3.2,No
Dubai,64445.0,3.2,Yes
Dubai,57189.0,3.7,No
Dubai,63218.0,3.9,Yes
USA,55794.0,4.0,No
Dubai,56957.0,4.0,Yes
Canada,57081.0,4.1,No
Australia,61111.0,4.5,No
USA,67938.0,4.9,No
USA,66029.0,5.1,No
Canada,83088.0,5.3,No
Australia,81363.0,5.9,Yes
Canada,93940.0,6.0,No
Canada,91738.0,6.8,No
Australia,98273.0,7.1,No
Australia,101302.0,7.9,No
Australia,113812.0,8.2,Yes
Dubai,109431.0,8.7,No
Australia,105582.0,9.0,Yes
Dubai,116969.0,9.5,No
USA,112635.0,9.6,Yes
USA,122391.0,10.3,No
Canada,121872.0,10.5,Yes
